StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Q2- Text,Q3- Define CE,Q4-CESA_1,Q4-CESA_2,Q4-CESA_3,Q4-CESA_4,Q4-CESA_5,Q4-CESA_6,Q4-CESA_7,Q4-CESA_8,Q4-CESA_9,Q4-CESA_10,Q6,Q6_4_TEXT,Q7-ESP1,Q7a-ESP1,Q8-ESP2_1,Q8-ESP2_2,Q8-ESP2_3,Q8-ESP2_4,Q8-ESP2_5,Q8-ESP2_6,Q31_1,Q31_2,Q31_3,Q31_4,Q31_5,Q31_6,Q9-ESP3_1,Q9-ESP3_2,Q9-ESP3_3,Q10-M1,Q11-M3,Q11-M3a,Q12-M4_1,Q12-M4_2,Q12-M4_3,Q12-M4_4,Q12-M4_5,Q12-M4_6,Q12-M4_7,Q12-M4_8,Q12-M4_9,Q13-M5,Q14-M6,Q14-M6a,Q14-M6b,Q15-M7,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q17,Q34,Q35,Q36,Q18,Q19,Q20,Q21,Q22,Q32,Q23,Q24,Q44
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,I am a current Washington College student and I agree to participate in this survey.,"There are many definitions of civic engagement.

 

Civic engagement is individual and collective actions designed to identify and address issues of public concern and opportunities for positive change. Civic engagement means working to make a difference in the civic life of our communities; promoting the quality of life in a community through both political and non-political processes.

 

 Some examples might include activism/advocacy, community service/volunteering, service-learning, philanthropy/fundraising, political engagement, civic learning, and community engaged research and internships.","When you think about civic engagement, what activities are central to your definition, or are most important? 

Check all that apply","Questions about Civic Engagement Attitudes

 

Civic engagement attitudes are your personal beliefs and feelings about your own involvement in your community and your ability to make a difference there.

 

 Please indicate the level to which you agree or disagree with each statement. - I feel responsible for my community","Questions about Civic Engagement Attitudes

 

Civic engagement attitudes are your personal beliefs and feelings about your own involvement in your community and your ability to make a difference there.

 

 Please indicate the level to which you agree or disagree with each statement. - All citizens have a responsibility to their community","Questions about Civic Engagement Attitudes

 

Civic engagement attitudes are your personal beliefs and feelings about your own involvement in your community and your ability to make a difference there.

 

 Please indicate the level to which you agree or disagree with each statement. - I have a responsibility to help the poor and the hungry","Questions about Civic Engagement Attitudes

 

Civic engagement attitudes are your personal beliefs and feelings about your own involvement in your community and your ability to make a difference there.

 

 Please indicate the level to which you agree or disagree with each statement. - I am committed to serve in my community","Questions about Civic Engagement Attitudes

 

Civic engagement attitudes are your personal beliefs and feelings about your own involvement in your community and your ability to make a difference there.

 

 Please indicate the level to which you agree or disagree with each statement. - I am a politically active and engaged person","Questions about Civic Engagement Attitudes

 

Civic engagement attitudes are your personal beliefs and feelings about your own involvement in your community and your ability to make a difference there.

 

 Please indicate the level to which you agree or disagree with each statement. - I am well informed on current events and issues of social justice","Questions about Civic Engagement Attitudes

 

Civic engagement attitudes are your personal beliefs and feelings about your own involvement in your community and your ability to make a difference there.

 

 Please indicate the level to which you agree or disagree with each statement. - It is important to be informed of community issues","Questions about Civic Engagement Attitudes

 

Civic engagement attitudes are your personal beliefs and feelings about your own involvement in your community and your ability to make a difference there.

 

 Please indicate the level to which you agree or disagree with each statement. - It is important to volunteer","Questions about Civic Engagement Attitudes

 

Civic engagement attitudes are your personal beliefs and feelings about your own involvement in your community and your ability to make a difference there.

 

 Please indicate the level to which you agree or disagree with each statement. - It is important to financially support charitable organizations","Questions about Civic Engagement Attitudes

 

Civic engagement attitudes are your personal beliefs and feelings about your own involvement in your community and your ability to make a difference there.

 

 Please indicate the level to which you agree or disagree with each statement. - The education and knowledge that I gain in college should be used to serve others","When answering the previous questions about community engagement, were you mostly thinking about: - Selected Choice","When answering the previous questions about community engagement, were you mostly thinking about: - Somewhere else (please specify) - Text","Engagement With Our Local Community



Many people say that they have less time these days to do volunteer work. What about you? In the past year, were you able to devote any time to volunteer work in our local community?","On average, approximately how many hours per month would you say you spend on volunteer work?","Many people believe that everyone must do their part to help maintain a healthy community and democracy. 

Regardless of how often you are personally able to engage in the following activities, please indicate how important you believe it is for people in general to do the following: - Attend community meetings","Many people believe that everyone must do their part to help maintain a healthy community and democracy. 

Regardless of how often you are personally able to engage in the following activities, please indicate how important you believe it is for people in general to do the following: - Participate in volunteer work","Many people believe that everyone must do their part to help maintain a healthy community and democracy. 

Regardless of how often you are personally able to engage in the following activities, please indicate how important you believe it is for people in general to do the following: - Express political opinions to elected officials","Many people believe that everyone must do their part to help maintain a healthy community and democracy. 

Regardless of how often you are personally able to engage in the following activities, please indicate how important you believe it is for people in general to do the following: - Engage in respectful political debates or discussions with those who hold different beliefs","Many people believe that everyone must do their part to help maintain a healthy community and democracy. 

Regardless of how often you are personally able to engage in the following activities, please indicate how important you believe it is for people in general to do the following: - Education themselves on political and social issues","Many people believe that everyone must do their part to help maintain a healthy community and democracy. 

Regardless of how often you are personally able to engage in the following activities, please indicate how important you believe it is for people in general to do the following: - Fundraise for a cause they believe in","In the last year, how often have you participated in the following activities? - Attended community meetings","In the last year, how often have you participated in the following activities? - Participated in volunteer work","In the last year, how often have you participated in the following activities? - Expressed political opinions to elected officials","In the last year, how often have you participated in the following activities? - Engaged in respectful political debates or discussions with those who hold different beleifes","In the last year, how often have you participated in the following activities? - Educated myself on political or social issues","In the last year, how often have you participated in the following activities? - Fundraised for a cause I believe in",Please indicate whether you have had the following experiences during the past year. - Have you changed your mind on a political or social issue as a result of an open conversation with someone who had a different opinion than your own?,Please indicate whether you have had the following experiences during the past year. - Have you changed your mind on a political or social issue as a result of encountering a news story that presented an opinion that was different than your own?,Please indicate whether you have had the following experiences during the past year. - Have you stopped talking to or interacting with someone because of political differences of opinion?,"The following questions are about civic engagement and media.
Which of the following activities do you think count as online civic engagement? Check all that apply",Do you use YikYak on campus?,How connected do you feel to the community as a result of using YikYak?,"In your opinion, how does YikYak impact the following things: - Participation in campus events or activities","In your opinion, how does YikYak impact the following things: - Participation in off-campus events or activities","In your opinion, how does YikYak impact the following things: - Perception of campus events or activities","In your opinion, how does YikYak impact the following things: - Participation in courses or programs","In your opinion, how does YikYak impact the following things: - Perception of courses, programs, or professors","In your opinion, how does YikYak impact the following things: - Perception of community members","In your opinion, how does YikYak impact the following things: - Perception of how welcoming or accessible Chestertown and the surrounding community is","In your opinion, how does YikYak impact the following things: - Overall attitudes and beliefs about Washington College","In your opinion, how does YikYak impact the following things: - Overall attitudes and beliefs about Chestertown or the surrounding community","In your opinion, does participating in YikYak count as a form of civic engagement?","Do you regularly read local newspapers or publications such as The Elm, the Chestertown Spy, or the Kent County News, either in print or online?",Which local publications do you read regularly (at least once per month)? Check all that apply,How connected do you feel to the community as a result of reading local news?,"In your opinion, does reading local news publications count as a form of civic engagement?",Please rate the extent to which you agree or disagree with the following questions about your experiences in/with the surrounding community. - It is important for me to stay informed about what is happening in Chestertown and the local community,Please rate the extent to which you agree or disagree with the following questions about your experiences in/with the surrounding community. - I feel accepted in the community outside of Washington College,Please rate the extent to which you agree or disagree with the following questions about your experiences in/with the surrounding community. - The Chestertown community welcomes Washington College students,Please rate the extent to which you agree or disagree with the following questions about your experiences in/with the surrounding community. - It is important for students to participate in community events outside of campus,Please rate the extent to which you agree or disagree with the following questions about your experiences in/with the surrounding community. - Washington College makes positive contributions to the surrounding community,Please rate the extent to which you agree or disagree with the following questions about your experiences in/with the surrounding community. - Washington College supports student civic engagement,Please rate the extent to which you agree or disagree with the following questions about your experiences in/with the surrounding community. - It is my responsibility to leave Washington College better than I found it,Please rate the extent to which you agree or disagree with the following questions about your experiences in/with the surrounding community. - It is my responsibility to leave Chestertown and the surrounding community better than I found them,"Did you know that Washington College has civic engagement as a part of its mission?

“Washington College challenges and inspires emerging citizen leaders to discover lives of purpose and passion”?",Do you agree that civic engagement should be a part of our mission?,Is Washington College meeting its civic engagement mission?,Does Washington College provide the required resources and opportunities for students to be civically engaged?,How would you rate your overall civic engagement?,What is your anticipated year of graduation?,What is your major or intended major?,Are you a campus athlete?,Are you a member of a fraternity or sorority?,"Are you a member of a group, club, or activity?",What best describes your gender identity?,What is your racial and/or ethnic identity? Select all that apply.,"If you are taking this survey for course credit, please add your participant number here."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID37""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID4_11""}","{""ImportId"":""QID4_12""}","{""ImportId"":""QID4_6""}","{""ImportId"":""QID4_7""}","{""ImportId"":""QID4_8""}","{""ImportId"":""QID4_9""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_4_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID9_4""}","{""ImportId"":""QID9_5""}","{""ImportId"":""QID9_6""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID31_2""}","{""ImportId"":""QID31_3""}","{""ImportId"":""QID31_4""}","{""ImportId"":""QID31_5""}","{""ImportId"":""QID31_6""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID11""}","{""ImportId"":""QID13""}","{""ImportId"":""QID16""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID14_4""}","{""ImportId"":""QID14_5""}","{""ImportId"":""QID14_6""}","{""ImportId"":""QID14_7""}","{""ImportId"":""QID14_8""}","{""ImportId"":""QID14_9""}","{""ImportId"":""QID15""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID21_3""}","{""ImportId"":""QID21_4""}","{""ImportId"":""QID21_5""}","{""ImportId"":""QID21_6""}","{""ImportId"":""QID21_7""}","{""ImportId"":""QID21_8""}","{""ImportId"":""QID22""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID32""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID44_TEXT""}"
2023-03-28 11:56:40,2023-03-28 11:59:12,Survey Preview,,100,151,True,2023-03-28 11:59:13,R_bEDxinqkc2DScMN,,,,,39.2147,-76.0795,preview,EN,Yes (continue to survey),,Voting,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,The Washington College community,,Yes,8 to 12 hours per month,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Often,Often,Often,Often,Often,Often,No,No,No,Following accounts/pages that post about current events.,No,,Positive Impact,Positive Impact,Positive Impact,Positive Impact,Positive Impact,Positive Impact,Positive Impact,Positive Impact,Positive Impact,No,No,,,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Yes,Yes,Yes,I am much less engaged than the average WAC student,,,,,,,,
2023-03-28 12:33:38,2023-03-28 12:37:32,IP Address,209.243.32.180,100,233,True,2023-03-28 12:37:33,R_1f3dVWprUSYzHWf,,,,,39.2147,-76.0795,anonymous,EN,,,"Voting,Political engagement,Talking with people in the community,Fundraising,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities,Participating in research with community members,Service-learning experiences with a class,Contributing to community businesses with a social cause",Agree,Agree,Agree,Agree,,,Agree,Agree,Agree,,The Chestertown or local community,,Yes,Less than 4 hours per month,Not at all important,Important,Not really important,Very Important,Very Important,Very Important,,,,,,,No,No,No,"Signing online petitions.,Debating opinions or ideas with others with whom you disagree.,Liking posts regarding current events.",No,,No impact,No impact,No impact,No impact,No impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,No,No,,,No,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,No,,,,I am less engaged than the average WAC student,2024,Human Development,Yes,No,,Female,European American or White,
2023-03-28 12:34:07,2023-03-28 12:38:29,IP Address,76.78.85.89,100,262,True,2023-03-28 12:38:30,R_0By4zalVJoyNm3n,,,,,39.2147,-76.0795,anonymous,EN,,,"Voting,Political engagement,Fundraising,Making donations to charities,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities,Participating in research with community members,Service-learning experiences with a class,Contributing to community businesses with a social cause",Agree,Agree,Agree,Agree,,,Agree,Agree,Agree,,The Washington College community,,Yes,8 to 12 hours per month,Important,Important,Important,Not really important,Important,Important,,,,,,,No,No,Yes,"Following accounts/pages that post about current events.,Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Posting your own opinions regarding current events.,Liking posts regarding current events.",Yes,Connected,Positive Impact,Positive Impact,Positive Impact,Positive Impact,Positive Impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,No,No,,,No,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Yes,,,,I am as engaged as the average WAC student,2024,"Human Development ",No,Yes,,Female,European American or White,
2023-03-28 12:33:13,2023-03-28 12:39:11,IP Address,76.78.85.80,100,358,True,2023-03-28 12:39:12,R_DvFEXLbyIAkTMfn,,,,,39.2147,-76.0795,anonymous,EN,,,"Voting,Political engagement,Fundraising,Making donations to charities,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities,Contributing to community businesses with a social cause",Somewhat agree,Agree,Agree,Somewhat agree,,,Agree,Agree,Agree,,The Washington College community,,No,,Not really important,Important,Very Important,Important,Very Important,Very Important,,,,,,,No,Yes,No,"Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Debating opinions or ideas with others with whom you disagree.,Following elected officials or other representatives on social media.,Liking posts regarding current events.",Yes,Connected,Negative Impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,No,Yes,The Elm,Neither connected nor disconnected,No,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Agree,Strongly Agree,Yes,,,,I am more engaged than the average WAC student,2024,"Human Development ",No,Yes,,Female,"European American or White,Hispanic/Latinx",
2023-03-28 12:33:36,2023-03-28 12:39:12,IP Address,209.243.32.180,100,336,True,2023-03-28 12:39:13,R_1DogVqJZPSUGSZ2,,,,,39.2147,-76.0795,anonymous,EN,,,"Voting,Political engagement,Talking with people in the community,Fundraising,Making donations to charities,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities,Attending community arts and culture events,Participating in research with community members,Service-learning experiences with a class,Contributing to community businesses with a social cause",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,Agree,Agree,Agree,,Your home community,,No,,Not really important,Important,Important,Important,Very Important,Very Important,,,,,,,Yes,No,No,"Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Following elected officials or other representatives on social media.",No,,Negative Impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,No,No,,,Yes,Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Neutral,Neutral,Yes,,,,I am much less engaged than the average WAC student,2023,Human Development,No,No,,Female,European American or White,
2023-03-28 12:33:14,2023-03-28 12:39:21,IP Address,76.78.85.65,100,367,True,2023-03-28 12:39:22,R_337R6QfOGDo7MD4,,,,,39.2147,-76.0795,anonymous,EN,,,"Political engagement,Talking with people in the community,Making donations to charities,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities,Attending community arts and culture events",Agree,Agree,Agree,Somewhat agree,,,Agree,Somewhat agree,Agree,,Your home community,,No,,Very Important,Important,Very Important,Important,Very Important,Important,,,,,,,Yes,Yes,Yes,"Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Debating opinions or ideas with others with whom you disagree.",Yes,Very connected,No impact,No impact,Positive Impact,Positive Impact,Positive Impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,No,Yes,"The Elm,Kent County News",Very connected,Yes,Agree,Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Yes,,,,I am as engaged as the average WAC student,2024,Communication and Media Studies,No,No,,Female,European American or White,
2023-03-23 12:45:23,2023-03-28 12:39:21,IP Address,76.78.85.35,100,431638,True,2023-03-28 12:39:22,R_3CN3v3UXfM6otDL,,,,,39.2147,-76.0795,anonymous,EN,,,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,Agree,Agree,Agree,,The Washington College community,,No,,Very Important,Important,Very Important,Not really important,Very Important,Important,,,,,,,No,No,Yes,"Following accounts/pages that post about current events.,Signing online petitions.,Following elected officials or other representatives on social media.",Yes,Neither connected or disconnected,Positive Impact,Positive Impact,Negative Impact,Negative Impact,Positive Impact,Positive Impact,Negative Impact,Negative Impact,Negative Impact,No,No,,,Yes,Neutral,Disagree,Agree,Agree,Neutral,Disagree,Agree,Neutral,Yes,,,,I am more engaged than the average WAC student,2024,Human Development & Theatre,No,No,,Female,European American or White,
2023-03-28 12:33:24,2023-03-28 12:39:25,IP Address,209.243.32.181,100,360,True,2023-03-28 12:39:25,R_3Gm7hcoKeu95oP3,,,,,39.2147,-76.0795,anonymous,EN,,,"Voting,Political engagement,Talking with people in the community,Fundraising,Making donations to charities,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities",Somewhat agree,Somewhat agree,Somewhat disagree,Disagree,,,Somewhat agree,Somewhat agree,Neither agree nor disagree,,The Chestertown or local community,,Yes,Less than 4 hours per month,Not really important,Important,Important,Very Important,Very Important,Not really important,,,,,,,Yes,Yes,Yes,"Following accounts/pages that post about current events.,Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Posting your own opinions regarding current events.,Debating opinions or ideas with others with whom you disagree.,Following elected officials or other representatives on social media.",No,,,,,,,,,,,Yes,No,,,Yes,Agree,Strongly Agree,Neutral,Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Yes,,,,I am more engaged than the average WAC student,2023,"American Studies ",Yes,No,,Male,European American or White,
