StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Q2- Text,Q3- Define CE,Q4-CESA_1,Q4-CESA_2,Q4-CESA_3,Q4-CESA_4,Q4-CESA_5,Q4-CESA_6,Q4-CESA_7,Q4-CESA_8,Q4-CESA_9,Q4-CESA_10,Q50_1,Q50_2,Q50_3,Q50_4,Q50_5,Q50_6,Q6,Q6_4_TEXT,Q7-ESP1,Q7a-ESP1,Q8-ESP2_1,Q8-ESP2_2,Q8-ESP2_3,Q8-ESP2_4,Q8-ESP2_5,Q8-ESP2_6,Q31_1,Q31_2,Q31_3,Q31_4,Q31_5,Q31_6,Q9-ESP3,Q76,Q75,Q10-ESP4,Q11-ESP5,Q12-ESP6,Q13-ESP7,Q14-ESP8,Q10-M1,Q51_1,Q51_2,Q51_3,Q51_4,Q51_5,Q51_6,Q14-M6,Q14-M6a,Q14-M6b,Q15-M7,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q58,Q68,Q69,Q70,Q71,Q72_1,Q72_2,Q72_3,Q72_4,Q66,Q17,Q34,Q35,Q36,Q18,Q60,Q73,Q19,Q46,Q20,Q45,Q23,Q24,Q44
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"I am a current Washington College student, and I agree to participate in this survey.","There are many definitions of civic engagement.

 

'Civic engagement' describes individual and collective actions designed to identify and address issues of public concern and opportunities for positive change. Civic engagement means working to make a difference in the civic life of our communities--promoting the quality of life in a community through both political and non-political processes.

 

Some examples might include activism/advocacy, community service/volunteering, service-learning, philanthropy/fundraising, political engagement, civic learning, and community engaged research and internships.","When you think about civic engagement, what activities are central to your definition or are most important? Check all that apply.","Questions about Civic Engagement Attitudes

 

Civic engagement attitudes are your personal beliefs and feelings about your own involvement in your community and your ability to make a difference there.

 

Please indicate the level to which you agree or disagree with each statement. - I feel responsible for my community","Questions about Civic Engagement Attitudes

 

Civic engagement attitudes are your personal beliefs and feelings about your own involvement in your community and your ability to make a difference there.

 

Please indicate the level to which you agree or disagree with each statement. - All citizens have a responsibility to their community","Questions about Civic Engagement Attitudes

 

Civic engagement attitudes are your personal beliefs and feelings about your own involvement in your community and your ability to make a difference there.

 

Please indicate the level to which you agree or disagree with each statement. - I have a responsibility to help the poor and the hungry","Questions about Civic Engagement Attitudes

 

Civic engagement attitudes are your personal beliefs and feelings about your own involvement in your community and your ability to make a difference there.

 

Please indicate the level to which you agree or disagree with each statement. - I am committed to serve in my community","Questions about Civic Engagement Attitudes

 

Civic engagement attitudes are your personal beliefs and feelings about your own involvement in your community and your ability to make a difference there.

 

Please indicate the level to which you agree or disagree with each statement. - I am a politically active and engaged person","Questions about Civic Engagement Attitudes

 

Civic engagement attitudes are your personal beliefs and feelings about your own involvement in your community and your ability to make a difference there.

 

Please indicate the level to which you agree or disagree with each statement. - I am well informed on current events and issues of social justice","Questions about Civic Engagement Attitudes

 

Civic engagement attitudes are your personal beliefs and feelings about your own involvement in your community and your ability to make a difference there.

 

Please indicate the level to which you agree or disagree with each statement. - It is important to be informed on community issues","Questions about Civic Engagement Attitudes

 

Civic engagement attitudes are your personal beliefs and feelings about your own involvement in your community and your ability to make a difference there.

 

Please indicate the level to which you agree or disagree with each statement. - It is important to volunteer","Questions about Civic Engagement Attitudes

 

Civic engagement attitudes are your personal beliefs and feelings about your own involvement in your community and your ability to make a difference there.

 

Please indicate the level to which you agree or disagree with each statement. - It is important to financially support charitable organizations","Questions about Civic Engagement Attitudes

 

Civic engagement attitudes are your personal beliefs and feelings about your own involvement in your community and your ability to make a difference there.

 

Please indicate the level to which you agree or disagree with each statement. - The education and knowledge that I gain in college should be used to serve others","Civic behaviors are defined as the actions you take to actively engage and make a difference in your community.  

Please indicate the level to which you have participated in these civic actions on a scale from never to very often. - I am involved in structured volunteer position(s) in the community","Civic behaviors are defined as the actions you take to actively engage and make a difference in your community.  

Please indicate the level to which you have participated in these civic actions on a scale from never to very often. - When working with others, I make positive changes in the community","Civic behaviors are defined as the actions you take to actively engage and make a difference in your community.  

Please indicate the level to which you have participated in these civic actions on a scale from never to very often. - I help members of my community","Civic behaviors are defined as the actions you take to actively engage and make a difference in your community.  

Please indicate the level to which you have participated in these civic actions on a scale from never to very often. - I stay informed about events in my community","Civic behaviors are defined as the actions you take to actively engage and make a difference in your community.  

Please indicate the level to which you have participated in these civic actions on a scale from never to very often. - I participate in discussions that raise issues of social responsibility","Civic behaviors are defined as the actions you take to actively engage and make a difference in your community.  

Please indicate the level to which you have participated in these civic actions on a scale from never to very often. - I contribute to charitable organizations within the community","When answering the previous questions about community engagement, were you mostly thinking about: - Selected Choice","When answering the previous questions about community engagement, were you mostly thinking about: - Somewhere else (please specify) - Text","Engagement With Our Local Community



Many people say that they have less time these days to do volunteer work. What about you? In the past year, were you able to devote any time to volunteer work in our local community?","On average, approximately how many hours per month would you say you spend on volunteer work?","Many people believe that everyone must do their part to help maintain a healthy community and democracy. 

Regardless of how often you are personally able to engage in the following activities, please indicate how important you believe it is for people in general to do the following: - Attend community meetings","Many people believe that everyone must do their part to help maintain a healthy community and democracy. 

Regardless of how often you are personally able to engage in the following activities, please indicate how important you believe it is for people in general to do the following: - Participate in volunteer work","Many people believe that everyone must do their part to help maintain a healthy community and democracy. 

Regardless of how often you are personally able to engage in the following activities, please indicate how important you believe it is for people in general to do the following: - Express political opinions to elected officials","Many people believe that everyone must do their part to help maintain a healthy community and democracy. 

Regardless of how often you are personally able to engage in the following activities, please indicate how important you believe it is for people in general to do the following: - Engage in respectful political debates or discussions with those who hold different beliefs","Many people believe that everyone must do their part to help maintain a healthy community and democracy. 

Regardless of how often you are personally able to engage in the following activities, please indicate how important you believe it is for people in general to do the following: - Educate themselves on political and social issues","Many people believe that everyone must do their part to help maintain a healthy community and democracy. 

Regardless of how often you are personally able to engage in the following activities, please indicate how important you believe it is for people in general to do the following: - Fundraise for a cause they believe in","In the last year, how often have you participated in the following activities? - Attended community meetings","In the last year, how often have you participated in the following activities? - Participated in volunteer work","In the last year, how often have you participated in the following activities? - Expressed political opinions to elected officials","In the last year, how often have you participated in the following activities? - Engaged in respectful political debates or discussions with those who hold different beliefs","In the last year, how often have you participated in the following activities? - Educated myself on political or social issues","In the last year, how often have you participated in the following activities? - Fundraised for a cause I believe in",Have you changed your mind on a political or social issue as a result of an open conversation with someone who had a different opinion than your own?,Have you changed your mind on a political or social issue as a result of encountering a news story that presented an opinion that was different than your own?,Have you stopped talking to or interacting with someone because of political differences of opinion?,"Generally speaking, do you think of yourself as a Democrat, Republican, or Independent?",Would you consider yourself strongly associated with the political party you identified above?,"In general, how would you describe your political views?",We are interested in your voting in the last presidential election. Which of the following statements best describes you?,Which candidate for President did you vote for in the 2024 presidential election?,"Media and Civic Engagement

 

Which of the following activities do you think count as being civically engaged online? Check all that apply.","On a scale from very unimportant to very important, how important are social media for: - Learning about events or activities on campus","On a scale from very unimportant to very important, how important are social media for: - Learning about opportunities for civic engagement on campus","On a scale from very unimportant to very important, how important are social media for: - Feeling connected to the campus community","On a scale from very unimportant to very important, how important are social media for: - Learning about events or activities in Chestertown or the surrounding communities","On a scale from very unimportant to very important, how important are social media for: - Learning about opportunities for civic engagement in Chestertown or the surrounding communities","On a scale from very unimportant to very important, how important are social media for: - Feeling connected to Chestertown or the surrounding communities","Do you regularly read local newspapers or publications such as The Elm, the Chestertown Spy, or the Kent County News, either in print or online?",Which local publications do you read regularly (at least once per month)? Check all that apply.,How connected do you feel to the community as a result of reading local news?,"In your opinion, does reading local news publications count as a form of civic engagement?",Please rate the extent to which you agree or disagree with the following statements about your experiences in/with the surrounding community. - It is important for me to stay informed about what is happening in Chestertown and the local community,Please rate the extent to which you agree or disagree with the following statements about your experiences in/with the surrounding community. - I feel accepted in the community outside of Washington College,Please rate the extent to which you agree or disagree with the following statements about your experiences in/with the surrounding community. - The Chestertown community welcomes Washington College students,Please rate the extent to which you agree or disagree with the following statements about your experiences in/with the surrounding community. - It is important for students to participate in community events outside of campus,Please rate the extent to which you agree or disagree with the following statements about your experiences in/with the surrounding community. - Washington College makes positive contributions to the surrounding community,Please rate the extent to which you agree or disagree with the following statements about your experiences in/with the surrounding community. - Washington College supports student civic engagement,Please rate the extent to which you agree or disagree with the following statements about your experiences in/with the surrounding community. - Washington College has a unique culture that I want to be a part of,Please rate the extent to which you agree or disagree with the following statements about your experiences in/with the surrounding community. - It is my responsibility to leave Washington College better than I found it,Please rate the extent to which you agree or disagree with the following statements about your experiences in/with the surrounding community. - It is my responsibility to leave Chestertown and the surrounding community better than I found them,"Are you involved in one or more student clubs? (e.g. Student Government Association, Best Buddies, Compost Club)","Are you involved in one or more affinity groups? (e.g. Black Student Union, Encouraging
Respect of Sexualities [EROS], Latinx Student Union, faith-based groups)","Are you involved in one or more athletic organizations? (e.g. Lacrosse, Rowing, Soccer;
Varsity or Intermural)","Are you involved in one or more honor societies? (e.g. Phi Beta Kappa, Cater Society)","Are you involved in Greek Life? (e.g. Kappa Sigma, Alpha Omicron Pi)",Please indicate how true the following statements about the relationship between campus groups and civic engagement are for you. - My participation in campus groups has prepared me to civically engage,Please indicate how true the following statements about the relationship between campus groups and civic engagement are for you. - My participation in campus groups has provided opportunities for me to civically engage,Please indicate how true the following statements about the relationship between campus groups and civic engagement are for you. - My participation in campus groups has enriched my experience of Washington College,Please indicate how true the following statements about the relationship between campus groups and civic engagement are for you. - The group/s I participate in on campus make a difference,How has your participation in campus groups changed since your first semester?,Did you know that Washington College has civic engagement as a part of its mission?,Do you agree that civic engagement should be a part of Washington College's mission?,Is Washington College meeting its civic engagement mission?,Does Washington College provide the required resources and opportunities for students to be civically engaged?,How would you rate your overall civic engagement?,How familiar are you with the social and political issues of Chestertown and the surrounding communities?,How much do you feel like you belong at Washington College?,What is your anticipated year of graduation?,Are you a transfer student?,"What is your major or intended major? (Double majors, please include both below)","What is your minor or intended minor? (Double or triple minors, please list all below)",What best describes your gender identity?,What is your racial and/or ethnic identity? Select all that apply.,"If you are taking this survey for course credit, please add your participant number here."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID37""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID4_11""}","{""ImportId"":""QID4_12""}","{""ImportId"":""QID4_6""}","{""ImportId"":""QID4_7""}","{""ImportId"":""QID4_8""}","{""ImportId"":""QID4_9""}","{""ImportId"":""QID50_1""}","{""ImportId"":""QID50_2""}","{""ImportId"":""QID50_3""}","{""ImportId"":""QID50_4""}","{""ImportId"":""QID50_5""}","{""ImportId"":""QID50_6""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_4_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID9_4""}","{""ImportId"":""QID9_5""}","{""ImportId"":""QID9_6""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID31_2""}","{""ImportId"":""QID31_3""}","{""ImportId"":""QID31_4""}","{""ImportId"":""QID31_5""}","{""ImportId"":""QID31_6""}","{""ImportId"":""QID10""}","{""ImportId"":""QID76""}","{""ImportId"":""QID75""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""QID11""}","{""ImportId"":""QID51_1""}","{""ImportId"":""QID51_2""}","{""ImportId"":""QID51_3""}","{""ImportId"":""QID51_4""}","{""ImportId"":""QID51_5""}","{""ImportId"":""QID51_6""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID21_3""}","{""ImportId"":""QID21_4""}","{""ImportId"":""QID21_5""}","{""ImportId"":""QID21_6""}","{""ImportId"":""QID21_9""}","{""ImportId"":""QID21_7""}","{""ImportId"":""QID21_8""}","{""ImportId"":""QID58""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72_1""}","{""ImportId"":""QID72_2""}","{""ImportId"":""QID72_4""}","{""ImportId"":""QID72_5""}","{""ImportId"":""QID66""}","{""ImportId"":""QID22""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID23""}","{""ImportId"":""QID60""}","{""ImportId"":""QID73""}","{""ImportId"":""QID24""}","{""ImportId"":""QID46""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID45_TEXT""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID44_TEXT""}"
2025-03-27 12:36:26,2025-03-27 12:40:36,IP Address,76.78.85.7,100,250,True,2025-03-27 12:40:37,R_1TQZhIZHGL63bJn,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Political engagement,Talking with people in the community,Teaching or mentorship,Fundraising,Making donations to charities,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities,Attending community arts and culture events,Participating in research with community members,Service-learning experiences with a class,Contributing to community businesses with a social cause",Somewhat agree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Sometimes,Often,Often,Very Often,Very Often,Often,Your home community,,Yes,Less than 4 hours per month,Very Important,Important,Very Important,Very Important,Very Important,Important,Sometimes/Occasionally,Sometimes/Occasionally,Often,Often,Often,Sometimes/Occasionally,No,No,Yes,Democrat,No,Liberal,I am sure that I VOTED in the 2024 Presidential Election,Kamala Harris,"Following accounts/pages that post about current events,Reposting information regarding current events to your story/page/etc.,Posting your own opinions regarding current events,Liking posts regarding current events",Very important,Very important,Important,Very important,Very important,Very important,Yes,The Elm,Connected,Yes,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Yes,Yes,No,No,No,Very True,Very True,Very True,Very True,My participation has increased. I am more involved than I was in my first semester.,Yes,Yes,Yes,Yes,I am as engaged as the average WAC student,Familiar,I feel a strong sense of belonging,2026,No,Communications and Media Studies,Creative Writing,"Genderqueer, genderfluid, or non-binary",European American or White,
2025-03-27 12:37:42,2025-03-27 12:41:58,IP Address,209.243.32.181,100,256,True,2025-03-27 12:41:59,R_7MsCUFCR1KaYcaR,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Political engagement,Talking with people in the community,Teaching or mentorship,Fundraising,Making donations to charities,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities,Participating in research with community members,Service-learning experiences with a class,Contributing to community businesses with a social cause",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Sometimes,Sometimes,Often,Often,Often,Often,Your home community,,Yes,4 to 8 hours per month,Important,Important,Not really important,Very Important,Important,Important,Sometimes/Occasionally,Sometimes/Occasionally,Sometimes/Occasionally,Sometimes/Occasionally,Sometimes/Occasionally,Sometimes/Occasionally,Yes,No,No,Independent,No,Middle of the Road,I am sure that I VOTED in the 2024 Presidential Election,Other Candidate,"Following accounts/pages that post about current events,Reposting information regarding current events to your story/page/etc.,Signing online petitions,Posting your own opinions regarding current events,Debating opinions or ideas with others with whom you disagree,Liking posts regarding current events",Important,Important,Unimportant,Important,Important,Very unimportant,No,,,Yes,Neutral,Agree,Strongly Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Yes,No,No,No,No,Mostly True,Mostly True,Mostly True,Mostly True,My participation has increased. I am more involved than I was in my first semester.,Yes,Yes,No,No,I am as engaged as the average WAC student,Somewhat familiar,I feel a sense of belonging,2026,No,CMS,religion studies,Man,European American or White,
2025-03-27 12:35:47,2025-03-27 12:42:13,IP Address,76.78.85.91,100,386,True,2025-03-27 12:42:14,R_59OmCeH2dCnHqDv,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Political engagement,Teaching or mentorship,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities,Service-learning experiences with a class,Contributing to community businesses with a social cause",Agree,Agree,Agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Agree,Very Often,Very Often,Often,Sometimes,Often,Sometimes,Your home community,,Yes,8 to 12 hours per month,Important,Very Important,Not really important,Important,Very Important,Not really important,Sometimes/Occasionally,Often,Never,Sometimes/Occasionally,Often,Never,No,No,Yes,Democrat,Yes,Middle of the Road,I am sure that I VOTED in the 2024 Presidential Election,Kamala Harris,"Following accounts/pages that post about current events,Reposting information regarding current events to your story/page/etc.,Signing online petitions,Posting your own opinions regarding current events",Very important,Important,Unimportant,Unimportant,Important,Unimportant,Yes,The Elm,Connected,Yes,Agree,Disagree,Strongly Disagree,Neutral,Agree,Agree,Agree,Strongly Agree,Neutral,Yes,Yes,No,No,No,Mostly True,Mostly True,Very True,Mostly True,My participation has decreased. I am less involved now than I was in my first semester.,Yes,Yes,No,Yes,I am more engaged than the average WAC student,Familiar,I feel little sense of belonging,2026,No,"Human Development ","Museum, field, and community education & Chesapeake regional studies",Woman,"European American or White,Hispanic/Latinx",
2025-03-27 12:33:12,2025-03-27 12:42:17,IP Address,76.78.85.63,100,545,True,2025-03-27 12:42:18,R_5qkiKw1Ibcaur2t,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Political engagement,Fundraising,Making donations to charities,Protesting or rallying,Activism or awareness raising activities,Contributing to community businesses with a social cause",Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Neither agree nor disagree,Agree,Sometimes,Sometimes,Sometimes,Often,Rarely,Sometimes,The Chestertown or local community,,Yes,Less than 4 hours per month,Important,Very Important,Important,Important,Very Important,Important,Sometimes/Occasionally,Sometimes/Occasionally,Never,Never,Often,Often,No,No,Yes,Independent,I don't know,Liberal,I am sure that I VOTED in the 2024 Presidential Election,Kamala Harris,"Following accounts/pages that post about current events,Reposting information regarding current events to your story/page/etc.,Signing online petitions,Following elected officials or other representatives on social media",Very important,Very important,Important,Very important,Important,Important,No,,,Yes,Agree,Agree,Neutral,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,No,No,No,Yes,Yes,Very True,Very True,Very True,Very True,My participation has increased. I am more involved than I was in my first semester.,Yes,Yes,I don't know,Yes,I am as engaged as the average WAC student,Unfamiliar,I feel a strong sense of belonging,2026,No,"Sociology, Human Development",Social Welfare,Woman,European American or White,
2025-03-27 12:36:31,2025-03-27 12:42:25,IP Address,209.243.32.181,100,353,True,2025-03-27 12:42:26,R_1t38AZQ6AOuJ0BX,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Political engagement,Teaching or mentorship,Fundraising,Making donations to charities,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities,Attending community arts and culture events,Participating in research with community members,Service-learning experiences with a class,Contributing to community businesses with a social cause",Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Neither agree nor disagree,Somewhat agree,Often,Often,Often,Often,Often,Rarely,The Chestertown or local community,,Yes,4 to 8 hours per month,Important,Very Important,Very Important,Important,Very Important,Important,Sometimes/Occasionally,Often,Often,Often,Sometimes/Occasionally,Never,No,Yes,No,Democrat,Yes,Liberal,I am sure that I VOTED in the 2024 Presidential Election,Kamala Harris,"Reposting information regarding current events to your story/page/etc.,Signing online petitions,Debating opinions or ideas with others with whom you disagree,Following elected officials or other representatives on social media",Important,Important,Very important,Very important,Very important,Important,No,,,No,Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Yes,No,Yes,Yes,No,Mostly True,Very True,Very True,Very True,My participation has increased. I am more involved than I was in my first semester.,Yes,Yes,Yes,Yes,I am more engaged than the average WAC student,Familiar,I feel a strong sense of belonging,2026,No,Human Development,Psychology,Woman,European American or White,
2025-03-27 12:37:19,2025-03-27 12:42:34,IP Address,209.243.32.180,100,315,True,2025-03-27 12:42:35,R_1CDH9YYGyllATKU,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Political engagement,Talking with people in the community,Teaching or mentorship,Fundraising,Making donations to charities,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities,Attending community arts and culture events,Participating in research with community members",Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Rarely,Often,Sometimes,Rarely,Sometimes,Sometimes,The Chestertown or local community,,Yes,Less than 4 hours per month,Important,Important,Important,Important,Important,Important,Never,Sometimes/Occasionally,Never,Never,Sometimes/Occasionally,Sometimes/Occasionally,Yes,Yes,Yes,Independent,No,Middle of the Road,I am sure that I VOTED in the 2024 Presidential Election,Kamala Harris,Following elected officials or other representatives on social media,Important,Important,Important,Important,Important,Important,No,,,Yes,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Strongly Disagree,Neutral,Neutral,No,No,Yes,No,No,Mostly True,Mostly Untrue,Mostly True,Mostly Untrue,My participation has stayed the same. I am as involved now as I was in my first semester.,No,Yes,I don't know,I don't know,I am as engaged as the average WAC student,Somewhat familiar,I do not feel a sense of belonging,2026,No,human development,none,Man,European American or White,
2025-03-27 12:33:31,2025-03-27 12:42:41,IP Address,76.78.85.45,100,549,True,2025-03-27 12:42:41,R_7iwnws5OYCikxtn,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Political engagement,Talking with people in the community,Teaching or mentorship,Fundraising,Protesting or rallying,Activism or awareness raising activities,Participating in research with community members,Service-learning experiences with a class,Contributing to community businesses with a social cause",Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Agree,Agree,Agree,Somewhat disagree,Somewhat disagree,Agree,Often,Often,Often,Often,Very Often,Never,The Washington College community,,Yes,4 to 8 hours per month,Important,Important,Very Important,Very Important,Very Important,Important,Sometimes/Occasionally,Sometimes/Occasionally,Often,Often,Often,Never,No,Yes,Yes,Democrat,No,Liberal,I am sure that I VOTED in the 2024 Presidential Election,Other Candidate,"Following accounts/pages that post about current events,Signing online petitions,Debating opinions or ideas with others with whom you disagree,Following elected officials or other representatives on social media",Important,Important,Very important,Very important,Important,Very important,No,,,Yes,Agree,Strongly Agree,Disagree,Strongly Agree,Neutral,Agree,Disagree,Disagree,Agree,No,No,No,No,No,Mostly Untrue,Mostly Untrue,Mostly Untrue,Mostly Untrue,My participation has decreased. I am less involved now than I was in my first semester.,Yes,Yes,No,No,I am more engaged than the average WAC student,Very familiar,I feel little sense of belonging,2026,No,"Human Development ","Spanish & Edu ",Man,European American or White,
2025-03-27 12:37:11,2025-03-27 12:42:46,IP Address,76.78.85.17,100,334,True,2025-03-27 12:42:46,R_3r23RthMuXKzbXA,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Political engagement,Fundraising,Making donations to charities,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities,Attending community arts and culture events,Participating in research with community members,Service-learning experiences with a class,Contributing to community businesses with a social cause",Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,The Washington College community,,Yes,Less than 4 hours per month,Important,Very Important,Important,Very Important,Very Important,Important,Never,Sometimes/Occasionally,Never,Sometimes/Occasionally,Sometimes/Occasionally,Sometimes/Occasionally,No,Yes,Yes,Democrat,Yes,Liberal,I am sure that I VOTED in the 2024 Presidential Election,Kamala Harris,"Reposting information regarding current events to your story/page/etc.,Signing online petitions,Debating opinions or ideas with others with whom you disagree,Liking posts regarding current events",Very important,Very important,Important,Important,Important,Important,No,,,Yes,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Yes,No,Yes,Yes,No,Mostly True,Mostly True,Very True,Mostly True,My participation has increased. I am more involved than I was in my first semester.,Yes,Yes,I don't know,Yes,I am as engaged as the average WAC student,Unfamiliar,I feel a sense of belonging,2026,No,Human Development,Psychology,Woman,European American or White,
