survey_year,ResponseId,StartDate,RecordedDate,Status,Finished,Duration_sec,Progress,DistributionChannel,Grad_year,Major_raw,Major1,Major2,Minor_raw,Minor1,Major_minor_inferred,Transfer_student,Gender,Race_ethnicity,Participant_code,EndDate,Consent,CE_definition_text,CE_define_open,CESA_1,CESA_2,CESA_3,CESA_4,CESA_5,CESA_6,CESA_7,CESA_8,CESA_9,CESA_10,Community_ref,Community_ref_other,Volunteer_yn,Volunteer_hrs_month,Civic_duty_1,Civic_duty_2,Civic_duty_3,Civic_duty_4,Civic_duty_5,Civic_duty_6,CE_activity_1,CE_activity_2,CE_activity_3,CE_activity_4,CE_activity_5,CE_activity_6,Media_CE_activities,Local_news_yn,Local_news_which,Local_news_connected,Local_news_CE_yn,CE_campus_1,CE_campus_2,CE_campus_3,CE_campus_4,CE_campus_5,CE_campus_6,CE_campus_7,CE_campus_8,Know_WC_CE_mission,Agree_CE_mission,WC_meeting_CE_mission,WC_CE_resources,Overall_CE_rating
SP23,R_bEDxinqkc2DScMN,2023-03-28 11:56:40,2023-03-28 11:59:13,Survey Preview,True,151,100,preview,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,,2023-03-28 11:59:12,Yes (continue to survey),-9,Voting,2,2,2,2,2,2,2,2,2,2,2,-9,1,8 to 12 hours per month,4,4,4,4,4,4,4,4,4,4,4,4,Following accounts/pages that post about current events.,0,-9,-9,4,5,5,5,5,5,5,5,5,1,1,2,2,1
SP23,R_1f3dVWprUSYzHWf,2023-03-28 12:33:38,2023-03-28 12:37:33,IP Address,True,233,100,anonymous,2024,Human Development,HDS,-9,-9,-9,-9,-9,2,European American or White,,2023-03-28 12:37:32,-9,-9,"Voting,Political engagement,Talking with people in the community,Fundraising,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities,Participating in research with community members,Service-learning experiences with a class,Contributing to community businesses with a social cause",4,4,4,4,-9,-9,4,4,4,-9,The Chestertown or local community,-9,1,Less than 4 hours per month,1,3,2,4,4,4,-9,-9,-9,-9,-9,-9,"Signing online petitions.,Debating opinions or ideas with others with whom you disagree.,Liking posts regarding current events.",0,-9,-9,1,5,5,1,4,4,1,5,5,0,-9,-9,-9,2
SP23,R_0By4zalVJoyNm3n,2023-03-28 12:34:07,2023-03-28 12:38:30,IP Address,True,262,100,anonymous,2024,Human Development ,HDS,-9,-9,-9,-9,-9,2,European American or White,,2023-03-28 12:38:29,-9,-9,"Voting,Political engagement,Fundraising,Making donations to charities,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities,Participating in research with community members,Service-learning experiences with a class,Contributing to community businesses with a social cause",4,4,4,4,-9,-9,4,4,4,-9,2,-9,1,8 to 12 hours per month,3,3,3,2,3,3,-9,-9,-9,-9,-9,-9,"Following accounts/pages that post about current events.,Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Posting your own opinions regarding current events.,Liking posts regarding current events.",0,-9,-9,1,3,4,4,4,4,3,4,4,1,-9,-9,-9,3
SP23,R_DvFEXLbyIAkTMfn,2023-03-28 12:33:13,2023-03-28 12:39:12,IP Address,True,358,100,anonymous,2024,Human Development ,HDS,-9,-9,-9,-9,-9,2,"European American or White,Hispanic/Latinx",,2023-03-28 12:39:11,-9,-9,"Voting,Political engagement,Fundraising,Making donations to charities,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities,Contributing to community businesses with a social cause",4,4,4,4,-9,-9,4,4,4,-9,2,-9,0,-9,2,3,4,3,4,4,-9,-9,-9,-9,-9,-9,"Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Debating opinions or ideas with others with whom you disagree.,Following elected officials or other representatives on social media.,Liking posts regarding current events.",1,The Elm,3,1,4,3,3,4,3,2,4,5,1,-9,-9,-9,4
SP23,R_1DogVqJZPSUGSZ2,2023-03-28 12:33:36,2023-03-28 12:39:13,IP Address,True,336,100,anonymous,2023,Human Development,HDS,-9,-9,-9,-9,-9,2,European American or White,,2023-03-28 12:39:12,-9,-9,"Voting,Political engagement,Talking with people in the community,Fundraising,Making donations to charities,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities,Attending community arts and culture events,Participating in research with community members,Service-learning experiences with a class,Contributing to community businesses with a social cause",4,4,4,4,-9,-9,4,4,4,-9,5,-9,0,-9,2,3,3,3,4,4,-9,-9,-9,-9,-9,-9,"Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Following elected officials or other representatives on social media.",0,-9,-9,4,4,3,3,5,4,4,3,3,1,-9,-9,-9,1
SP23,R_337R6QfOGDo7MD4,2023-03-28 12:33:14,2023-03-28 12:39:22,IP Address,True,367,100,anonymous,2024,Communication and Media Studies,CMS,-9,-9,-9,-9,-9,2,European American or White,,2023-03-28 12:39:21,-9,-9,"Political engagement,Talking with people in the community,Making donations to charities,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities,Attending community arts and culture events",4,4,4,4,-9,-9,4,4,4,-9,5,-9,0,-9,4,3,4,3,4,3,-9,-9,-9,-9,-9,-9,"Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Debating opinions or ideas with others with whom you disagree.",1,"The Elm,Kent County News",5,4,4,2,1,4,4,4,4,4,1,-9,-9,-9,3
SP23,R_3CN3v3UXfM6otDL,2023-03-23 12:45:23,2023-03-28 12:39:22,IP Address,True,431638,100,anonymous,2024,Human Development & Theatre,HDS,THE,-9,-9,-9,-9,2,European American or White,,2023-03-28 12:39:21,-9,-9,-9,4,4,4,4,-9,-9,4,4,4,-9,2,-9,0,-9,4,3,4,2,4,3,-9,-9,-9,-9,-9,-9,"Following accounts/pages that post about current events.,Signing online petitions.,Following elected officials or other representatives on social media.",0,-9,-9,4,3,2,4,4,3,2,4,3,1,-9,-9,-9,4
SP23,R_3Gm7hcoKeu95oP3,2023-03-28 12:33:24,2023-03-28 12:39:25,IP Address,True,360,100,anonymous,2023,American Studies ,AMS,-9,-9,-9,-9,-9,1,European American or White,,2023-03-28 12:39:25,-9,-9,"Voting,Political engagement,Talking with people in the community,Fundraising,Making donations to charities,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities",4,4,2,2,-9,-9,4,4,3,-9,The Chestertown or local community,-9,1,Less than 4 hours per month,2,3,3,4,4,2,-9,-9,-9,-9,-9,-9,"Following accounts/pages that post about current events.,Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Posting your own opinions regarding current events.,Debating opinions or ideas with others with whom you disagree.,Following elected officials or other representatives on social media.",0,-9,-9,4,4,5,3,4,3,2,5,5,1,-9,-9,-9,4
SP23,R_3iwHxktuSrAbgof,2023-03-28 12:33:39,2023-03-28 12:39:26,IP Address,True,346,100,anonymous,2024,Media and Communications,CMS,-9,-9,-9,-9,-9,1,"European American or White,Hispanic/Latinx",,2023-03-28 12:39:25,-9,-9,"Voting,Political engagement,Talking with people in the community,Fundraising,Making donations to charities,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities,Attending community arts and culture events,Participating in research with community members,Service-learning experiences with a class,Contributing to community businesses with a social cause",4,4,4,4,-9,-9,4,4,4,-9,Somewhere else (please specify),Both a and C,0,-9,3,3,4,4,4,3,-9,-9,-9,-9,-9,-9,"Reposting information regarding current events to your story/page/etc.,Posting your own opinions regarding current events.,Debating opinions or ideas with others with whom you disagree.,Liking posts regarding current events.",0,-9,-9,4,4,4,2,5,3,2,5,5,0,-9,-9,-9,3
SP23,R_3Olj9hxQcgllHms,2023-03-28 12:33:34,2023-03-28 12:39:32,IP Address,True,357,100,anonymous,2025,Communications and Media Studies,CMS,-9,-9,-9,-9,-9,1,Indigenous/Hawaiian/Pacific Islander,,2023-03-28 12:39:31,-9,-9,"Voting,Political engagement,Talking with people in the community,Fundraising,Making donations to charities,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities,Attending community arts and culture events,Participating in research with community members,Service-learning experiences with a class,Contributing to community businesses with a social cause",3,4,4,3,-9,-9,4,4,4,-9,2,-9,1,Less than 4 hours per month,2,3,3,3,3,3,-9,-9,-9,-9,-9,-9,"Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Debating opinions or ideas with others with whom you disagree.,Following elected officials or other representatives on social media.",0,-9,-9,4,3,4,4,4,4,3,3,3,1,-9,-9,-9,4
